idx,i_test,signal,prob,regime,atr,stop_pct,tp_pct,position_value,profit,cost,capital_after,ev
164,164,long,0.7874680704756355,0,0.006821428571428582,0.006658495194030651,0.019975485582091952,19.959984,0.147683,0.027944,40.039708,2.149872
165,165,long,0.8971051931237066,0,0.006471428571428572,0.0063563781273240074,0.01906913438197202,20.019854,0.151412,0.028028,40.163092,2.588421
166,166,long,0.8295174310066116,0,0.006357142857142855,0.006236773135625286,0.01871031940687586,20.081546,-0.065211,0.028114,40.069767,2.31807
167,167,long,0.862052167536671,0,0.006600000000000018,0.006461909004572309,0.019385727013716925,20.034883,-0.091017,0.028049,39.950701,2.448209
168,168,long,0.9316777459277317,0,0.006485714285714317,0.006298277545946936,0.018894832637840808,19.975351,-1.997535,0.027965,37.925201,2.726711
169,169,long,0.962660882804619,0,0.0061714285714286055,0.005979776727318062,0.017939330181954184,18.9626,-1.89626,0.026548,36.002393,2.850644
170,170,long,0.9718684992288998,0,0.006064285714285729,0.005911762248280101,0.017735286744840303,18.001196,-1.80012,0.025202,34.177072,2.887474
171,171,long,0.974157842909966,0,0.00630714285714286,0.006207878873948425,0.018623636621845276,17.088536,-1.708854,0.023924,32.444294,2.896631
172,172,long,0.9504589387153313,0,0.006457142857142844,0.006350892426841781,0.019052677280525343,16.222147,-1.622215,0.022711,30.799368,2.801836
173,173,long,0.8832206051363354,0,0.006471428571428572,0.006359501347708896,0.019078504043126686,15.399684,-1.539968,0.02156,29.23784,2.532882
174,174,long,0.9575296134500386,0,0.006342857142857127,0.006288399602301199,0.018865198806903596,14.61892,-1.461892,0.020466,27.755482,2.830118
